iter	Passed	Remaining
0	38	19409
1	55	13895
2	73	12243
3	91	11312
4	107	10645
5	123	10153
6	140	9883
7	156	9612
8	170	9278
9	185	9109
10	200	8925
11	229	9326
12	284	10653
13	355	12352
14	376	12182
15	404	12231
16	428	12161
17	455	12189
18	479	12137
19	503	12077
20	528	12053
21	559	12162
22	593	12313
23	645	12807
24	684	13006
25	711	12965
26	731	12817
27	750	12652
28	769	12494
29	789	12373
30	809	12241
31	832	12173
32	849	12026
33	866	11872
34	881	11712
35	897	11562
36	910	11398
37	926	11266
38	941	11131
39	958	11023
40	972	10888
41	987	10770
42	1003	10661
43	1019	10564
44	1042	10540
45	1063	10496
46	1079	10402
47	1095	10314
48	1112	10240
49	1126	10135
50	1141	10051
51	1155	9954
52	1169	9859
53	1182	9769
54	1197	9686
55	1211	9604
56	1225	9522
57	1238	9441
58	1254	9374
59	1268	9298
60	1285	9251
61	1301	9194
62	1326	9202
63	1348	9188
64	1362	9120
65	1377	9060
66	1392	9002
67	1411	8964
68	1427	8918
69	1443	8867
70	1459	8815
71	1477	8782
72	1492	8732
73	1510	8693
74	1523	8633
75	1538	8582
76	1553	8534
77	1567	8482
78	1583	8439
79	1599	8395
80	1616	8360
81	1634	8330
82	1651	8296
83	1666	8255
84	1680	8205
85	1696	8166
86	1712	8128
87	1730	8100
88	1744	8056
89	1758	8011
90	1773	7970
91	1787	7928
92	1801	7883
93	1815	7842
94	1829	7799
95	1842	7754
96	1856	7714
97	1870	7674
98	1884	7634
99	1899	7597
100	1913	7557
101	1928	7523
102	1942	7488
103	1957	7454
104	1971	7415
105	1985	7378
106	1999	7344
107	2014	7313
108	2029	7281
109	2044	7247
110	2059	7217
111	2073	7182
112	2086	7144
113	2101	7115
114	2116	7086
115	2132	7060
116	2148	7033
117	2165	7011
118	2180	6981
119	2194	6949
120	2208	6919
121	2222	6887
122	2236	6855
123	2250	6824
124	2265	6796
125	2279	6766
126	2291	6730
127	2306	6703
128	2322	6679
129	2337	6652
130	2352	6627
131	2366	6596
132	2386	6585
133	2402	6561
134	2421	6548
135	2440	6532
136	2458	6512
137	2474	6490
138	2490	6468
139	2505	6442
140	2519	6414
141	2534	6388
142	2547	6360
143	2561	6332
144	2576	6308
145	2591	6282
146	2604	6254
147	2619	6230
148	2634	6206
149	2649	6181
150	2663	6155
151	2677	6130
152	2691	6103
153	2703	6074
154	2717	6049
155	2733	6026
156	2746	6000
157	2760	5975
158	2774	5950
159	2788	5926
160	2802	5901
161	2816	5875
162	2831	5853
163	2845	5829
164	2859	5805
165	2873	5782
166	2888	5758
167	2902	5735
168	2916	5711
169	2931	5690
170	2940	5656
171	2953	5633
172	2967	5609
173	2982	5587
174	2996	5565
175	3010	5542
176	3024	5518
177	3037	5494
178	3051	5472
179	3072	5461
180	3090	5446
181	3106	5428
182	3123	5410
183	3147	5405
184	3164	5388
185	3185	5377
186	3203	5361
187	3215	5337
188	3230	5316
189	3246	5296
190	3259	5273
191	3272	5249
192	3287	5229
193	3300	5205
194	3315	5185
195	3331	5166
196	3345	5145
197	3360	5125
198	3375	5106
199	3391	5087
200	3405	5066
201	3421	5047
202	3438	5030
203	3457	5017
204	3475	5001
205	3490	4981
206	3505	4961
207	3521	4943
208	3536	4923
209	3550	4902
210	3564	4882
211	3577	4860
212	3590	4837
213	3602	4815
214	3618	4796
215	3634	4778
216	3653	4764
217	3669	4746
218	3683	4726
219	3697	4706
220	3712	4687
221	3728	4668
222	3742	4648
223	3756	4629
224	3770	4608
225	3786	4590
226	3800	4570
227	3814	4550
228	3828	4530
229	3842	4510
230	3856	4491
231	3870	4471
232	3886	4453
233	3903	4437
234	3922	4423
235	3939	4406
236	3954	4388
237	3968	4369
238	3984	4350
239	3998	4331
240	4020	4321
241	4036	4303
242	4051	4285
243	4067	4267
244	4082	4249
245	4096	4229
246	4110	4210
247	4124	4190
248	4139	4172
249	4154	4154
250	4169	4135
251	4183	4116
252	4197	4097
253	4210	4078
254	4224	4058
255	4239	4040
256	4252	4020
257	4265	4001
258	4279	3982
259	4293	3963
260	4306	3943
261	4320	3925
262	4335	3907
263	4349	3888
264	4362	3868
265	4376	3850
266	4389	3830
267	4403	3811
268	4417	3793
269	4432	3775
270	4448	3758
271	4463	3741
272	4477	3722
273	4492	3705
274	4505	3686
275	4518	3667
276	4532	3648
277	4546	3630
278	4560	3612
279	4574	3594
280	4588	3576
281	4600	3556
282	4615	3539
283	4632	3522
284	4648	3506
285	4663	3489
286	4677	3471
287	4691	3453
288	4705	3435
289	4719	3417
290	4734	3400
291	4748	3382
292	4762	3364
293	4777	3347
294	4791	3329
295	4804	3310
296	4818	3293
297	4833	3276
298	4847	3258
299	4861	3240
300	4876	3224
301	4889	3206
302	4904	3188
303	4920	3172
304	4937	3157
305	4956	3142
306	4971	3125
307	4986	3108
308	5001	3091
309	5015	3074
310	5030	3057
311	5044	3039
312	5059	3022
313	5073	3005
314	5087	2987
315	5106	2973
316	5122	2957
317	5137	2940
318	5155	2925
319	5175	2911
320	5192	2895
321	5209	2879
322	5225	2863
323	5242	2847
324	5256	2830
325	5270	2812
326	5286	2796
327	5300	2779
328	5315	2762
329	5330	2745
330	5344	2729
331	5360	2712
332	5378	2697
333	5395	2681
334	5413	2666
335	5428	2649
336	5444	2633
337	5459	2616
338	5473	2599
339	5488	2582
340	5501	2565
341	5515	2547
342	5529	2531
343	5545	2514
344	5559	2497
345	5573	2480
346	5588	2464
347	5601	2446
348	5615	2429
349	5629	2412
350	5644	2396
351	5657	2378
352	5671	2361
353	5685	2344
354	5698	2327
355	5714	2311
356	5728	2294
357	5742	2277
358	5755	2260
359	5771	2244
360	5786	2228
361	5800	2211
362	5815	2194
363	5829	2177
364	5843	2161
365	5857	2144
366	5872	2128
367	5885	2111
368	5898	2094
369	5911	2077
370	5925	2060
371	5940	2043
372	5953	2026
373	5967	2010
374	5981	1993
375	5997	1977
376	6011	1961
377	6026	1945
378	6043	1929
379	6066	1915
380	6083	1900
381	6099	1884
382	6124	1870
383	6145	1856
384	6170	1843
385	6206	1832
386	6234	1820
387	6258	1806
388	6281	1792
389	6305	1778
390	6322	1762
391	6338	1746
392	6354	1730
393	6370	1713
394	6386	1697
395	6405	1682
396	6426	1667
397	6447	1652
398	6464	1636
399	6480	1620
400	6495	1603
401	6509	1586
402	6523	1570
403	6538	1553
404	6552	1537
405	6566	1520
406	6580	1503
407	6593	1486
408	6607	1470
409	6621	1453
410	6636	1437
411	6650	1420
412	6665	1404
413	6679	1387
414	6693	1370
415	6708	1354
