"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"13968560",2022,1,"ATP Tour",1640991900,"31 Dec 2021","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Delbonis F.","Metreveli A.","750819","997995",44,570,1327,55,1,2,0,6,1,6,2,"","","","","","",1.11,6,1.16,4.5,4,1,2,2,76,43,57,24,67,100,0,33
"58204822",2022,1,"ATP Tour",1640991900,"31 Dec 2021","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Tabilo A.","Carreno-Busta P.","556041","771361",139,20,505,2230,2,0,2,4,6,6,7,"","","","","","",5,1.14,4.33,1.2,6,1,6,6,57,63,37,43,50,40,60,50
"65949173",2022,1,"ATP Tour",1640997000,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Schwartzman D.","Basilashvili N.","179007","309924",13,22,2625,2101,1,2,0,6,1,6,2,"","","","","","",1.44,2.62,1.53,2.37,5,2,2,4,73,40,60,27,56,50,50,44
"27336056",2022,1,"ATP Tour",1641000300,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Garin C.","Bautista-Agut R.","883049","467387",17,19,2353,2260,2,0,2,0,6,3,6,"","","","","","",3.4,1.3,2.75,1.4,1,2,3,1,45,66,34,55,50,71,29,50
"36136350",2022,1,"ATP Tour",1641018600,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Lajovic D.","Durasovic V.","403965","145031","","","","",1,2,0,6,2,7,5,"","","","","","","","","","","","","","","","","","","","","",""
"90689005",2022,1,"ATP Tour",1641018900,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Pervolarakis M.","Majchrzak K.","458242","802840",399,117,106,633,2,0,2,1,6,4,6,"","","","","","",6,1.11,4.5,1.16,3,1,3,3,50,69,31,50,50,80,20,50
"86793137",2022,1,"ATP Tour",1641018900,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Krajinovic F.","Durasovic V.","804480","145031",42,345,1402,137,1,2,0,6,2,7,5,"","","","","","",1.11,6,1.16,4.5,8,4,0,1,76,59,41,24,36,33,67,64
"70390018",2022,1,"ATP Tour",1641024600,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Thanos A.","Hurkacz H.","688487","125963",1078,9,10,3706,2,0,2,1,6,2,6,"","","","","","","","","","",2,5,2,0,45,79,21,55,0,63,38,100
"36973543",2022,1,"ATP Tour",1641024600,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Lajovic D.","Ruud C.","403965","529271",33,8,1591,4160,2,0,2,3,6,5,7,"","","","","","",5,1.14,4.33,1.2,4,1,0,3,52,65,35,48,50,57,43,50
"68676834",2022,3,"ATP Chall",1641078600,"01 Jan 2022","Bendigo Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Pearson K.","Errey C.","679092","216734","","","","",1,2,0,6,2,6,3,"","","","","","",1.06,8,"","",1,0,0,8,72,47,53,28,56,20,80,44
"57981171",2022,3,"ATP Chall",1641078600,"01 Jan 2022","Bendigo Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Dellavedova M.","Pavlekovich Smith T.","287673","607174","","","","",1,2,0,6,1,6,4,"","","","","","",1.1,6.5,"","",2,4,2,3,69,54,46,31,50,25,75,50
"35912472",2022,3,"ATP Chall",1641078600,"01 Jan 2022","Bendigo Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Addison A.","Camus C.","478748","238388","","","","",1,2,0,7,5,6,3,"","","","","","",1.1,6.5,"","",4,3,6,1,64,51,49,36,33,40,60,67
"65377611",2022,1,"ATP Tour",1641078600,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Schnur B.","Isner J.","848198","889942",238,24,264,1991,2,0,2,1,6,3,6,"","","","","","",3.75,1.25,3.25,1.33,1,10,4,0,54,68,32,46,0,50,50,100
"65156939",2022,1,"ATP Tour",1641078600,"01 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Safiullin R.","Rinderknech A.","957369","954504",167,58,409,1029,1,2,1,2,6,7,5,6,3,"","","","",2.75,1.4,2.5,1.5,2,15,7,3,57,60,40,43,57,21,79,43
"24902721",2022,3,"ATP Chall",1641082200,"02 Jan 2022","Traralgon Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Puttergill C.","Hough D.","774933","244857","","","","",1,2,0,6,1,6,2,"","","","","","",1.11,6,"","",4,5,2,4,80,42,58,20,83,0,0,17
"46723229",2022,3,"ATP Chall",1641082200,"02 Jan 2022","Traralgon Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Statham J. R.","Viiala Z.","518536","637708","","","","",1,2,0,6,1,6,3,"","","","","","",1.05,9,"","",4,3,1,9,70,46,54,30,71,33,67,29
"40269382",2022,1,"ATP Tour",1641083700,"02 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Auger-Aliassime F.","Fritz T.","710995","723636",11,23,3308,2050,2,1,2,7,6,4,6,4,6,"","","","",1.61,2.2,1.66,2.1,9,12,2,2,71,77,23,29,0,33,67,100
"68225518",2022,1,"ATP Tour",1641084000,"02 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Otte O.","Rodionov J.","925629","812285","","","","",1,2,0,6,4,7,6,"","","","","","",1.25,3.95,1.34,3.25,7,1,4,4,72,65,35,28,33,33,67,67
"41342106",2022,3,"ATP Chall",1641086400,"02 Jan 2022","Traralgon Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Gulbis E.","Jones H.","739898","359603","","","","",1,2,0,6,3,7,5,"","","","","","","","","","",9,3,2,2,72,61,39,28,60,100,0,40
"29775328",2022,3,"ATP Chall",1641086700,"02 Jan 2022","Traralgon Chall. Men - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sharan D.","Fitzgerald P.","989854","190534","","","","",1,2,1,6,4,1,6,7,5,"","","","","","","","",2,3,4,2,61,61,39,39,19,33,67,81
"37064734",2022,1,"ATP Tour",1641088500,"02 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Medvedev D.","Humbert U.","412462","659243",2,35,8640,1558,2,1,2,7,6,5,7,6,7,"","","","",1.08,7,1.14,5,14,1,7,2,64,63,37,36,33,29,71,67
"93539138",2022,1,"ATP Tour",1641090900,"02 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Winter E.","Daniel T.","733556","646738","","","","",2,0,2,4,6,4,6,"","","","","","",14,1.03,"","",8,6,2,3,65,75,25,35,0,50,50,100
"94207324",2022,1,"ATP Tour",1641096600,"02 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Janvier M.","Varillas J. P.","640731","820964","","","","",2,0,2,4,6,6,7,"","","","","","",1.57,2.38,1.63,2.25,3,4,3,1,69,88,13,31,0,25,75,0
"18289470",2022,1,"ATP Tour",1641097800,"02 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Rune H.","Ramanathan R.","415691","364318","","","","",1,2,0,6,4,7,6,"","","","","","",1.33,3.3,1.42,2.85,6,10,3,5,75,69,31,25,50,0,100,50
"51279104",2022,1,"ATP Tour",1641102900,"02 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Heliovaara H.","Cerundolo F.","338721","986053","","","","",2,0,2,4,6,2,6,"","","","","","",5.3,1.16,4,1.25,3,3,2,3,53,69,31,47,50,50,50,50
"80532384",2022,1,"ATP Tour",1641104100,"02 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Galan D. E.","Ebden M.","613323","325045","","","","",1,2,1,5,7,7,5,6,3,"","","","",1.79,2,1.81,1.98,18,8,1,6,63,60,40,37,38,27,73,62
"90101140",2022,1,"ATP Tour",1641105300,"02 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Struff J-L.","Evans D.","855008","890750",51,25,1134,1942,2,0,2,1,6,2,6,"","","","","","",2.25,1.57,2.2,1.61,3,4,3,1,51,74,26,49,0,36,64,0
